experiment,final_reward,max_reward,steps,best_model,plot
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042,102.6358,102.7542,241585,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042,128.7570,140.2508,227283,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42,93.3806,107.7868,248008,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042,120.1456,120.1456,267840,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042,97.2532,97.2532,253736,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42,91.2034,91.2034,245760,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042,99.2821,99.2821,267040,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042,70.2914,73.1455,243604,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42,116.2629,125.0679,258248,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042,118.2989,123.4007,226898,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042,135.8833,139.9141,222184,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42,101.5938,105.9139,258040,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.png
